fips,net_migration_rate_65plus,net_migrants_65plus,total_expected_65plus,total_pop_2010,pop_65plus_2010,pct_65plus_2010,pct_55_64_2010,seasonal_housing_share_2010,total_pop_2020,pop_65plus_2020,pct_65plus_2020,change_65plus_pct,median_hh_income_2010,median_house_value_2010,healthcare_share_2010,manufacturing_share_2010,Scale,land_area_sqmi,state_fips,state_income_tax_2010,log_pop_2010,pop_density,is_rural,is_metro,is_south,is_west,is_coastal
08035,41.53569723353461,5922.0,14242.0,285465,20343,7.126267668540802,10.702187658732244,0.2844870343162485,344280,41364,12.014639247124434,4.888371578583632,99.198,33.87,0.10016430900361993,0.01821519344817848,5.15,840.25,08,4.63,12.561874708619237,339.7381731627492,0,1,0,1,0
08037,-11.516732462799878,-379.0,3293.0,52197,2938,5.628675977546602,10.642374082801693,0.11816555952989269,54960,6290,11.444687045123727,5.816011067577125,71.337,53.09,0.06363239100473965,0.006756529631248109,4.57,1684.472,08,4.63,10.862780300954826,30.987157993721475,0,0,0,1,0
08039,6.004929233772573,122.0,2049.0,23086,2193,9.499263622974963,16.195962921250974,0.346794943505985,26230,4234,16.141822340831112,6.642558717856149,78.958,34.64,0.08362369337979095,0.06172224987555998,0.9,1850.836,08,4.63,10.046981652174857,12.473282343762495,1,0,0,1,0
08041,7.994233165441113,4592.0,56981.0,622263,62051,9.971828631945014,10.859395464618657,0.19022985778241816,710499,91065,12.817048299856863,2.8452196679118487,56.268,21.68,0.13972686458406788,0.047156994100086974,5.15,2126.845,08,4.63,13.341118111936073,292.5756225771037,0,1,0,1,0
08043,16.413905114688703,1156.0,7019.0,46824,8244,17.60635571501794,14.40714163676747,0.5196964972456085,47725,10265,21.50864326872708,3.90228755370914,37.847,15.28,0.25447619047619047,0.06209523809523809,4.82,1533.082,08,4.63,10.754151170971056,30.54239760169384,0,0,0,1,0
08045,-4.554209989806321,-225.0,4905.0,56389,4717,8.365106669740552,11.537711255741367,0.16302715689218758,59605,7758,13.015686603472862,4.65057993373231,64.902,34.16,0.13712228646231045,0.012544998363695865,3.81,2947.545,08,4.63,10.940029383003269,19.130836000807452,0,0,0,1,0
08047,-3.2551330798479094,-18.0,526.0,5441,514,9.446792868957912,19.88605035839,0.5617977528089888,6108,1036,16.96136214800262,7.514569279044709,58.036,31.64,0.007021517553793885,0.0,6.97,149.896,08,4.63,8.601718146485926,36.298500293536854,0,0,0,1,0
08049,-9.10048309178744,-150.0,1656.0,14843,1519,10.233780233106515,16.034494374452603,0.13697777224332233,15536,2711,17.44979402677652,7.216013793670005,60.433,26.91,0.051800146950771495,0.0159808963997061,7.47,1846.441,08,4.63,9.605283652624765,8.038707979296387,1,0,0,1,0
08051,-8.309458533241946,-121.0,1459.0,15324,1351,8.8162359697207,12.803445575567737,0.14020329477742727,17119,2370,13.84426660435773,5.02803063463703,49.356,33.51,0.08061776061776062,0.012355212355212355,4.94,3239.142,08,4.63,9.63717550582054,4.730882437386197,1,0,0,1,0
08053,-17.775568181818183,-31.0,176.0,843,147,17.437722419928825,19.33570581257414,0.07204610951008646,781,203,25.992317541613318,8.554595121684493,74.659,27.5,0.0,0.0,6.9,1117.231,08,4.63,6.736966958001855,0.7545440468443858,1,0,0,1,0
